Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation,Example Software Use,RP Software Documentation,Version Info
7z,Ookami,Service,Developer Support,General,General,"7-Zip is a file archiver with a high compression ratio. 
Description Source: https://www.7-zip.org/",https://www.7-zip.org/,https://www.7-zip.org/,https://www.youtube.com/watch?v=N48Z0nG0bcQ,Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami,
abacas,Anvil,Application,Bioinformatics,Sciences,Biology,Abacas is a tool for algorithm based automatic contiguation of assembled sequences.,https://abacas.sourceforge.net/,https://abacas.sourceforge.net/documentation.html,https://abacas.sourceforge.net/Manual.html,Anvil: https://www.rcac.purdue.edu/software/abacas,Anvil: 1.3.1
abaqus,Expanse,Application,Simulation,Engineering,Mechanical Engineering,"Abaqus is a software suite for finite element analysis and computer-aided engineering, primarily used in engineering and design fields for simulating the behavior of structures and materials under various conditions. It offers advanced capabilities for modeling, analysis, and visualization, making it a powerful tool for solving complex engineering challenges.",https://www.3ds.com/products/simulia/abaqus,https://www.3ds.com/support/documentation/user-guides,"https://www.3ds.com/products/simulia/training 
https://www.youtube.com/watch?v=3-NIKzmhxOU&list=PLz_XdUL-6Y_k-LgmCKo5ejqRAGpfXPk23",Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,"Expanse: 2018.Bk, 2018, 2021Hf7"
abinit,"Bridges-2, Expanse, Faster",Application,Materials Science,Engineering,,"ABINIT is a software suite to calculate the optical, mechanical, vibrational, and other observable properties of materials. Starting from the quantum equations of density functional theory, you can build up to advanced applications with perturbation theories based on DFT, and many-body Green's functions (GW and DMFT). 
Description Source: https://www.abinit.org/",https://www.abinit.org/,https://docs.abinit.org/tutorial/,https://docs.abinit.org/tutorial/,"Bridges-2: https://www.psc.edu/resources/software/abinit 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/","Bridges-2: 9.4.2-Intel
Expanse: Q47Zuuw
Faster: 9.4.2, 9.6.2"
abismal,Anvil,Application,Bioinformatics,Sciences,Biology,Another Bisulfite Mapping Algorithm (abismal) is a read mapping program for bisulfite sequencing in DNA methylation studies.,https://github.com/smithlabcode/abismal,https://github.com/smithlabcode/abismal/blob/master/docs/MANUAL.md,,Anvil: https://www.rcac.purdue.edu/software/abismal,Anvil: 3.0.0
abpoa,Anvil,Application,Bioinformatics,Sciences,Biology,"abPOA is an extended version of Partial Order Alignment (POA) that performs adaptive banded dynamic programming (DP) with an SIMD implementation. abPOA can perform multiple sequence alignment (MSA) on a set of input sequences and generate a consensus sequence by applying the heaviest bundling algorithm to the final alignment graph. 
Description Source:  https://github.com/yangao07/abPOA",https://github.com/yangao07/abPOA,https://github.com/yangao07/abPOA#general-usage,"https://github.com/yangao07/abPOA/blob/main/example.c 
https://github.com/yangao07/abPOA/blob/main/sub_example.c ",Anvil: https://www.rcac.purdue.edu/software/abpoa,Anvil: 1.4.1
abricate,Anvil,Application,Bioinformatics,Sciences,Biology,"Mass screening of contigs for antimicrobial resistance or virulence genes. It comes bundled with multiple databases: NCBI, CARD, ARG-ANNOT, Resfinder, MEGARES, EcOH, PlasmidFinder, Ecoli_VF and VFDB.",https://github.com/tseemann/abricate,https://github.com/tseemann/abricate,,Anvil: https://www.rcac.purdue.edu/software/abricate,Anvil: 1.0.1
abseil,"Aces, Faster",Library,General,General,General,"Abseil is an open source collection of C++ libraries drawn from the most fundamental pieces of Google’s internal codebase. These libraries are the nuts-and-bolts that underpin almost everything Google runs. 
Description Source: https://abseil.io/about/",https://abseil.io/,https://abseil.io/docs/,"https://abseil.io/docs/cpp/quickstart 
https://abseil.io/tips/","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 20230125.2, 20230125.3, 20230802.1
Faster: 20210324.2, 20230125.2, 20230125.3, 20230802.1"
abyss,"Anvil, Bridges-2, Faster",Application,Bioinformatics,Sciences,Biology,"ABySS is a de novo, parallel, paired-end sequence assembler that is designed for short reads. The single-processor version is useful for assembling genomes up to 100 Mbases in size. The parallel version is implemented using MPI and is capable of assembling larger genomes. 
Description Source: https://www.bcgsc.ca/resources/software/abyss",https://www.bcgsc.ca/resources/software/abyss,https://github.com/bcgsc/abyss,https://github.com/bcgsc/abyss?tab=readme-ov-file#assemble-a-small-synthetic-data-set,"Anvil: https://www.rcac.purdue.edu/software/abyss 
Bridges-2: https://www.psc.edu/resources/software/abyss 
Faster: https://hprc.tamu.edu/software/faster/","Anvil: 2.3.2, 2.3.4
Bridges-2: 2.1.5
Faster: 2.1.5"
accessusage,Expanse,Service,Developer Support,General,General,Adds ACCESS accessusage tool to paths in the login shell environment.,https://software.xsede.org/packaged-software/access-usage-accessusage,https://software.xsede.org/production/accessusage/latest/INSTALL,https://software.xsede.org/production/accessusage/latest/INSTALL_Testing,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 0.5-1
