Software,RP Name,Software's Web Page,Software Documentation/Link,Example Software Use (link)
7z,ookami,https://www.7-zip.org/,https://www.7-zip.org/,https://www.youtube.com/watch?v=N48Z0nG0bcQ
abacas,anvil,https://abacas.sourceforge.net/,https://abacas.sourceforge.net/documentation.html,https://abacas.sourceforge.net/Manual.html
abaqus,expanse,https://www.3ds.com/products/simulia/abaqus,https://www.3ds.com/support/documentation/user-guides,"https://www.3ds.com/products/simulia/training , https://www.youtube.com/watch?v=3-NIKzmhxOU&list=PLz_XdUL-6Y_k-LgmCKo5ejqRAGpfXPk23"
abinit,"bridges-2, expanse, faster",https://www.abinit.org/,https://docs.abinit.org/tutorial/,https://docs.abinit.org/tutorial/
abismal,anvil,https://github.com/smithlabcode/abismal,https://github.com/smithlabcode/abismal/blob/master/docs/MANUAL.md,
abpoa,anvil,https://github.com/yangao07/abPOA,https://github.com/yangao07/abPOA,
abricate,anvil,https://github.com/tseemann/abricate,https://github.com/tseemann/abricate,
abseil,"aces, faster",https://abseil.io/,https://abseil.io/docs/,"https://abseil.io/docs/cpp/quickstart , https://abseil.io/tips/"
abyss,"anvil, bridges-2, faster",https://www.bcgsc.ca/resources/software/abyss,https://github.com/bcgsc/abyss,https://github.com/bcgsc/abyss?tab=readme-ov-file#assemble-a-small-synthetic-data-set
accessusage,expanse,https://software.xsede.org/packaged-software/access-usage-accessusage,https://software.xsede.org/production/accessusage/latest/INSTALL,https://software.xsede.org/production/accessusage/latest/INSTALL_Testing
actc,"aces, anvil, faster",https://plunk.org/~grantham/public/actc/,https://plunk.org/~grantham/public/actc/manual.html,https://plunk.org/~grantham/public/actc/tcsample.c
adapterremoval,"anvil, faster",https://github.com/MikkelSchubert/adapterremoval,https://adapterremoval.readthedocs.io/en/stable/,https://adapterremoval.readthedocs.io/en/stable/examples.html
adios2,expanse,https://github.com/ornladios/ADIOS2,https://adios2.readthedocs.io/en/v2.10.0/,https://adios2.readthedocs.io/en/v2.10.0/tutorials/basicTutorials.html
adol-c,expanse,https://github.com/coin-or/ADOL-C,https://github.com/coin-or/ADOL-C/tree/master/ADOL-C/doc,https://github.com/coin-or/ADOL-C/tree/master/ADOL-C/examples
advisor,"kyric, stampede3",https://www.intel.com/content/www/us/en/developer/tools/oneapi/advisor.html,https://www.intel.com/content/www/us/en/docs/advisor/get-started-guide/2023-1/overview.html,
advntr,anvil,https://github.com/mehrdadbakhtiari/adVNTR,https://advntr.readthedocs.io/en/latest/index.html,https://advntr.readthedocs.io/en/latest/tutorial.html
aesara,faster,https://github.com/aesara-devs/aesara,https://aesara.readthedocs.io/en/latest/,https://aesara.readthedocs.io/en/latest/reference/index.html
aflow,faster,https://aflowlib.org/,https://aflow.org/aflow-school/,https://aflow.org/aflow-school/
afplot,anvil,https://github.com/sndrtj/afplot,,https://github.com/sndrtj/afplot#Examples
afterqc,anvil,https://github.com/OpenGene/AfterQC,https://github.com/OpenGene/AfterQC,https://github.com/OpenGene/AfterQC#Simple-usage
agat,anvil,https://github.com/NBISweden/AGAT?tab=readme-ov-file,https://agat.readthedocs.io/en/latest/index.html,https://agat.readthedocs.io/en/latest/agat_how_does_it_work.html
agfusion,anvil,https://github.com/murphycj/AGFusion,https://github.com/murphycj/AGFusion,"https://github.com/murphycj/AGFusion?tab=readme-ov-file#examples , https://www.agfusion.app/"
ai,bridges-2,,https://www.psc.edu/resources/software/ai/,
aiohttp,"aces, faster",https://github.com/aio-libs/aiohttp,https://docs.aiohttp.org/en/stable/,
alfred,anvil,https://github.com/tobiasrausch/alfred,https://www.gear-genomics.com/docs/alfred/,https://www.gear-genomics.com/docs/alfred/cli/
alien-hunter,anvil,https://www.sanger.ac.uk/tool/alien_hunter/,,
alignstats,anvil,https://github.com/jfarek/alignstats,https://github.com/jfarek/alignstats,https://github.com/jfarek/alignstats?tab=readme-ov-file#usage-examples
all-architectures,ookami,,,
allocations,bridges-2,,,
allpathslg,anvil,https://software.broadinstitute.org/allpaths-lg/blog/,,
