Software,RP Name,Software Type,Software Class,Research Field,Research Area,Research Discipline,Software Description,Core Features,General Tags,Software's Web Page,Software Documentation,Example Software Use,RP Software Documentation,Version Info,AI Description,Example Use
7z,Ookami,Archiver,Utility,,General,General,"7-Zip is a file archiver with a high compression ratio. 
Description Source: https://www.7-zip.org/","7-Zip provides a high compression ratio, supports various archive formats including 7z, XZ, BZIP2, GZIP, TAR, ZIP, and WIM, has a powerful file manager and command-line version, offers AES-256 encryption, and is open-source software.","File Archiver, Compression, Encryption",https://www.7-zip.org/,https://www.7-zip.org/,https://www.youtube.com/watch?v=N48Z0nG0bcQ,Ookami: https://www.stonybrook.edu/commcms/ookami/support/faq/software_on_ookami,,7-Zip is a file archiver with a high compression ratio. It supports several archive formats and can be used to compress and decompress files efficiently.,
abacas,Anvil,Genome Assembly,Bioinformatics,Biological Sciences,Genetics,Biological Sciences,Abacas is a tool for algorithm based automatic contiguation of assembled sequences.,"Contig assembly, scaffolding, reference genome utilization","Bacterial Genome, Genome Assembly",https://abacas.sourceforge.net/,https://abacas.sourceforge.net/documentation.html,https://abacas.sourceforge.net/Manual.html,Anvil: https://www.rcac.purdue.edu/software/abacas,Anvil: 1.3.1,ABACAS is a tool for rapid bacterial genome contig assembly. It takes contigs produced by an assemblrer and scaffolds them to generate a pseudo-chromosome. It can handle multiple contigs and uses reference genomes for scaffolding.,
abaqus,Expanse,Simulation Software,Other,Engineering & Technology,Engineering,Engineering & Technology,"Abaqus is a software suite for finite element analysis and computer-aided engineering, primarily used in engineering and design fields for simulating the behavior of structures and materials under various conditions. It offers advanced capabilities for modeling, analysis, and visualization, making it a powerful tool for solving complex engineering challenges.","Finite Element Analysis (Fea), Structural Analysis, Thermal Analysis, Fluid Analysis, Multiphysics Simulation, Explicit & Implicit Solvers, Material Modeling, Contact Analysis, Fatigue Analysis, Nonlinear Analysis","Simulation, Finite Element Analysis, Computer-Aided Engineering, Materials Analysis",https://www.3ds.com/products/simulia/abaqus,https://www.3ds.com/support/documentation/user-guides,"https://www.3ds.com/products/simulia/training 
https://www.youtube.com/watch?v=3-NIKzmhxOU&list=PLz_XdUL-6Y_k-LgmCKo5ejqRAGpfXPk23",Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,"Expanse: 2018.Bk, 2018, 2021Hf7",Abaqus is a software suite used for finite element analysis and computer-aided engineering simulations for a wide range of industrial applications. It provides powerful simulation capabilities to analyze the behavior of materials and structures under various conditions.,
abinit,"Bridges-2, Expanse, Faster",Electronic Structure Calculation,Simulation Software,Physical Sciences,Materials Science,Condensed Matter Physics,"ABINIT is a software suite to calculate the optical, mechanical, vibrational, and other observable properties of materials. Starting from the quantum equations of density functional theory, you can build up to advanced applications with perturbation theories based on DFT, and many-body Green's functions (GW and DMFT). 
Description Source: https://www.abinit.org/","Abinit offers a wide range of functionalities for modeling materials properties, such as electronic band structures, total energies, forces, dielectric properties, and more. It supports parallel computing for scalability and efficiency.","Materials Science, Condensed Matter Physics, Electronic Structure Calculations",https://www.abinit.org/,https://docs.abinit.org/tutorial/,https://docs.abinit.org/tutorial/,"Bridges-2: https://www.psc.edu/resources/software/abinit 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules 
Faster: https://hprc.tamu.edu/software/faster/","Bridges-2: 9.4.2-Intel
Expanse: Q47Zuuw
Faster: 9.4.2, 9.6.2","Abinit is a first-principles simulation software for materials science, condensed matter physics, and related fields. It performs electronic structure calculations based on density functional theory (DFT) and many-body perturbation theory.",
abismal,Anvil,Computational Chemistry Software,Scientific Computing Software,Other Natural Sciences,Sciences,Biology,Another Bisulfite Mapping Algorithm (abismal) is a read mapping program for bisulfite sequencing in DNA methylation studies.,Abismal provides ab-initio solvers for studying intersolute-interaction and surfaces and materials. It includes a library for ab-initio calculations and supports various methods for electronic structure calculations.,"Ab-Initio, Electronic Structure Calculations, Materials Science",https://github.com/smithlabcode/abismal,https://github.com/smithlabcode/abismal/blob/master/docs/MANUAL.md,,Anvil: https://www.rcac.purdue.edu/software/abismal,Anvil: 3.0.0,AbInitio Solvers for Intersolute-interaction and Surfaces and Materials with Ab-initio Library,
abpoa,Anvil,Alignment Tool,Bioinformatics,Biological Sciences,Comparative Genomics,Genetics,"abPOA is an extended version of Partial Order Alignment (POA) that performs adaptive banded dynamic programming (DP) with an SIMD implementation. abPOA can perform multiple sequence alignment (MSA) on a set of input sequences and generate a consensus sequence by applying the heaviest bundling algorithm to the final alignment graph. 
Description Source:  https://github.com/yangao07/abPOA","1. Utilizes a bi-path structure for pairwise sequence alignment
2. Designed for aligning long noisy read sequences
3. Adapts to local alignment conditions to improve accuracy
4. Efficient and scalable for handling large datasets","Multiple Sequence Alignment, Sequence Alignment, Long Read Sequences",https://github.com/yangao07/abPOA,https://github.com/yangao07/abPOA#general-usage,"https://github.com/yangao07/abPOA/blob/main/example.c 
https://github.com/yangao07/abPOA/blob/main/sub_example.c ",Anvil: https://www.rcac.purdue.edu/software/abpoa,Anvil: 1.4.1,ABPOA (adaptive bi-path overlap aligner) is a multiple sequence alignment tool that employs a novel bi-path structure to generate pairwise alignments between sequences for constructing a multiple sequence alignment. It is designed to align long noisy read sequences efficiently and accurately by adapting to local alignment conditions.,
abricate,Anvil,Tool,Bioinformatics,Biological Sciences,Sciences,Biology,"Mass screening of contigs for antimicrobial resistance or virulence genes. It comes bundled with multiple databases: NCBI, CARD, ARG-ANNOT, Resfinder, MEGARES, EcOH, PlasmidFinder, Ecoli_VF and VFDB.","Identify Antimicrobial Resistance Genes, Detect Virulence Genes, Analyze Bacterial Genomes","Antimicrobial Resistance, Genomic Analysis, Bacterial Genomics",https://github.com/tseemann/abricate,https://github.com/tseemann/abricate,,Anvil: https://www.rcac.purdue.edu/software/abricate,Anvil: 1.0.1,abricate is a tool for finding antimicrobial resistance and virulence genes in bacterial genomes.,
abseil,"Aces, Faster",Code Library,Library,Computer & Information Sciences,General,General,"Abseil is an open source collection of C++ libraries drawn from the most fundamental pieces of Google’s internal codebase. These libraries are the nuts-and-bolts that underpin almost everything Google runs. 
Description Source: https://abseil.io/about/","1. Cross-platform support
2. Robust and well-tested library code
3. Portable and efficient implementations
4. Compliant with C++11 standards
5. Designed to complement the C++ standard library","C++ Library, Open Source, Cross-Platform",https://abseil.io/,https://abseil.io/docs/,"https://abseil.io/docs/cpp/quickstart 
https://abseil.io/tips/","Aces: https://hprc.tamu.edu/software/aces/ 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 20230125.2, 20230125.3, 20230802.1
Faster: 20210324.2, 20230125.2, 20230125.3, 20230802.1","Abseil is an open-source collection of C++ code (compliant to C++11) designed to augment the C++ standard library. It provides a set of high-quality library code that is well tested, portable, and efficient for a wide range of purposes.",
abyss,"Anvil, Bridges-2, Faster",Hpc Tool,Bioinformatics,Biological Sciences,Genetics,Biological Sciences,"ABySS is a de novo, parallel, paired-end sequence assembler that is designed for short reads. The single-processor version is useful for assembling genomes up to 100 Mbases in size. The parallel version is implemented using MPI and is capable of assembling larger genomes. 
Description Source: https://www.bcgsc.ca/resources/software/abyss",ABySS can assemble very large genomes using paired-end sequencing data. It supports a wide range of input read lengths and allows users to specify the insert size of the library. ABySS is parallelized to run efficiently on High-Performance Computing (HPC) clusters.,"Assembly, De Novo Assembly, Sequence Assembler, Large Genomes",https://www.bcgsc.ca/resources/software/abyss,https://github.com/bcgsc/abyss,https://github.com/bcgsc/abyss?tab=readme-ov-file#assemble-a-small-synthetic-data-set,"Anvil: https://www.rcac.purdue.edu/software/abyss 
Bridges-2: https://www.psc.edu/resources/software/abyss 
Faster: https://hprc.tamu.edu/software/faster/","Anvil: 2.3.2, 2.3.4
Bridges-2: 2.1.5
Faster: 2.1.5","ABySS (Assembly By Short Sequences) is a de novo, parallel, paired-end sequence assembler that is designed for large genomes and also works well on smaller genomes.",
accessusage,Expanse,Service,Developer Support,,General,General,Adds ACCESS accessusage tool to paths in the login shell environment.,,,https://software.xsede.org/packaged-software/access-usage-accessusage,https://software.xsede.org/production/accessusage/latest/INSTALL,https://software.xsede.org/production/accessusage/latest/INSTALL_Testing,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,Expanse: 0.5-1,,
actc,"Aces, Anvil, Faster",Tool,Graph Analytics,Computer & Information Sciences,General,"Biology, Mathematics","ACTC is a graphics optimization tool that enhances the rendering efficiency of 3D models by restructuring their geometric data. It's particularly useful in applications using OpenGL and Direct3D, where it can significantly improve rendering speed and reduce computational load. 
Description Source: https://plunk.org/~grantham/public/actc/README","Identifying Connected Components In Large, Distributed Graphs, Efficient Handling Of Massive Graphs, Scalability","Graph Analytics, Connected Components, Distributed Computing",https://plunk.org/~grantham/public/actc/,https://plunk.org/~grantham/public/actc/manual.html,https://plunk.org/~grantham/public/actc/tcsample.c,"Aces: https://hprc.tamu.edu/software/aces/ 
Anvil: https://www.rcac.purdue.edu/software/actc 
Faster: https://hprc.tamu.edu/software/faster/","Aces: 1.1
Anvil: 0.2.0
Faster: 1.1","ACTC (Assembly, Clustering, and Transformation for Connected Components) is a software tool for finding connected components in large, distributed graphs. It is specifically designed to handle massive graphs efficiently.",
adapterremoval,"Anvil, Faster",Bioinformatics Tool,Sequence Analysis Tool,Biological Sciences,Sciences,Biology,"AdapterRemoval searches for and removes adapter sequences from High-Throughput Sequencing (HTS) data and (optionally) trims low quality bases from the 3’ end of reads following adapter removal. AdapterRemoval can analyze both single end and paired end data, and can be used to merge overlapping paired-ended reads into (longer) consensus sequences. Additionally, AdapterRemoval can construct a consensus adapter sequence for paired-ended reads, if which this information is not available.","Adapter Trimming & Removal, Identification Of Overlapping Paired-End Reads, Statistics Generation","Bioinformatics, Hts Data Processing, Sequence Analysis",https://github.com/MikkelSchubert/adapterremoval,https://adapterremoval.readthedocs.io/en/stable/,https://adapterremoval.readthedocs.io/en/stable/examples.html,"Anvil: https://www.rcac.purdue.edu/software/adapterremoval 
Faster: https://hprc.tamu.edu/software/faster/","Anvil: 2.3.3
Faster: 2.3.3",AdapterRemoval searches for and removes adapter sequences from High-Throughput Sequencing (HTS) data. AdapterRemoval can also identify paired sequences in which both reads overlap after adapter removal and generate a statistics file detailing the results.,
adios2,Expanse,Library,Middleware,Computer & Information Sciences,Sciences,Computer Science,"ADIOS2 is developed as part of the United States Department of Energy's Exascale Computing Project. It is a framework for scientific data I/O to publish and subscribe to data when and where required. ADIOS2 transports data as groups of self-describing variables and attributes across different media types (such as files, wide-area-networks, and remote direct memory access) using a common application programming interface for all transport modes. ADIOS2 can be used on supercomputers, cloud systems, and personal computers.","High-Performance I/O Middleware Library, Simple & High-Level Interface, Efficient Data Management On Parallel Storage Systems, Support For Various Data Formats & Storage Systems, Parallel I/O Operations For Large-Scale Simulations, Scalability & Performance Optimizations","I/O Middleware, High-Performance Computing, Data Management, Parallel Computing",https://github.com/ornladios/ADIOS2,https://adios2.readthedocs.io/en/v2.10.0/,https://adios2.readthedocs.io/en/v2.10.0/tutorials/basicTutorials.html,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,"Expanse: F2Ejleg, M6X3V7O, ...","ADIOS 2 (Adaptable Input/Output System) is a next-generation high-performance I/O middleware library that provides a simple, high-level interface for efficiently managing data on parallel storage systems. It is designed to address the increasing challenges of achieving high performance and scalability when dealing with I/O operations in large-scale scientific simulations and data processing applications.",
adol-c,Expanse,Computational Software,Library,Mathematics,Engineering,Mathematics,"ADOL-C is an operator overloading based AD-tool that allows to compute derivatives for functions given as C or C++ source code. ADOL-C can handle codes based on classes, templates and other advanced C++-features. The resulting derivative evaluation routines may be called from C, C++, Fortran, or any other language that can be linked with C.","Automatic Differentiation For C/C++ Code, Efficient Calculation Of Derivatives, Support For First & Higher Order Derivative Information, Useful For Optimization, Sensitivity Analysis, & Uncertainty Quantification","Automatic Differentiation, Computational Mathematics, Optimization, Sensitivity Analysis, Uncertainty Quantification",https://github.com/coin-or/ADOL-C,https://github.com/coin-or/ADOL-C/tree/master/ADOL-C/doc,https://github.com/coin-or/ADOL-C/tree/master/ADOL-C/examples,Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules,"Expanse: Hjqerr7, Qygdtvg, ...","ADOL-C (Automatic Differentiation by Overloading in C++) is a software package for the calculation of derivatives of given C or C++ code. It allows for the efficient calculation of first and higher derivative information, which is useful in optimization, sensitivity analysis, and uncertainty quantification.",
advisor,"Kyric, Stampede3",Performance Optimization,Tool,Engineering & Technology,,,"Intel Advisor is a performance analysis tool designed to help developers optimize and parallelize their software on Intel architectures. It provides insights for efficient vectorization, threading, and offloading to accelerators, aiding in achieving maximum performance from applications.","Performance Optimization For Hpc Applications, Identifying Performance Bottlenecks, Analyzing Parallel Patterns, Recommendations For Performance Improvements","Hpc, Performance Optimization, Parallel Computing",https://www.intel.com/content/www/us/en/developer/tools/oneapi/advisor.html,https://www.intel.com/content/www/us/en/docs/advisor/get-started-guide/2023-1/overview.html,,Stampede3: https://tacc.utexas.edu/use-tacc/software-list/,"Kyric: Latest, 2021.1.1","Advisor is a comprehensive software tool designed for optimizing HPC applications and maximizing performance on current and future HPC systems. It offers insights into performance bottlenecks, parallel patterns, and potential improvements.",
