Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,Example Software Use (link),Area-specific Examples,Containerized Version of Software,RP Documentations for Software,Pathing
7z,ookami,service,,,,7-Zip is a file archiver with a high compression ratio. Description Source:https://www.7-zip.org/,https://www.7-zip.org/,https://www.7-zip.org/,https://www.youtube.com/watch?v=N48Z0nG0bcQ,,,,
abacas,anvil,,,,,,,,,,,,
abaqus,expanse,application,simulation,Engineering,Mechanical Engineering,"Abaqus is a software suite for finite element analysis and computer-aided engineering, primarily used in engineering and design fields for simulating the behavior of structures and materials under various conditions. It offers advanced capabilities for modeling, analysis, and visualization, making it a powerful tool for solving complex engineering challenges.",https://www.3ds.com/products/simulia/abaqus,https://www.3ds.com/support/documentation/user-guides,"https://www.3ds.com/products/simulia/training, https://www.youtube.com/watch?v=3-NIKzmhxOU&list=PLz_XdUL-6Y_k-LgmCKo5ejqRAGpfXPk23",,,,
abinit,"bridges, expanse, faster",application,materials science,Engineering,,"ABINIT is a software suite to calculate the optical, mechanical, vibrational, and other observable properties of materials. Starting from the quantum equations of density functional theory, you can build up to advanced applications with perturbation theories based on DFT, and many-body Green's functions (GW and DMFT). Description Source:https://www.abinit.org/",https://www.abinit.org/,https://docs.abinit.org/tutorial/,https://docs.abinit.org/tutorial/,,,,
abismal,anvil,,,,,,,,,,,,
abpoa,anvil,,,,,,,,,,,,
abricate,anvil,,,,,,,,,,,,
abseil,"aces, faster",library,,,,Abseil is an open source collection of C++ libraries drawn from the most fundamental pieces of Google’s internal codebase. These libraries are the nuts-and-bolts that underpin almost everything Google runs. Description Source:https://abseil.io/about/,https://abseil.io/,https://abseil.io/docs/,"https://abseil.io/docs/cpp/quickstart , https://abseil.io/tips/",,,,
abyss,"anvil, bridges, faster",application,bioinformatics,Sciences,Biology,"ABySS is a de novo, parallel, paired-end sequence assembler that is designed for short reads. The single-processor version is useful for assembling genomes up to 100 Mbases in size. The parallel version is implemented using MPI and is capable of assembling larger genomes. Description Source:https://www.bcgsc.ca/resources/software/abyss",https://www.bcgsc.ca/resources/software/abyss,https://github.com/bcgsc/abyss,https://github.com/bcgsc/abyss?tab=readme-ov-file#assemble-a-small-synthetic-data-set,,,,
accessusage,expanse,service,developer support,,,,,https://software.xsede.org/packaged-software/access-usage-accessusage,,,,,
actc,"aces, anvil, faster",application,modeling,,,"ACTC is a graphics optimization tool that enhances the rendering efficiency of 3D models by restructuring their geometric data. It's particularly useful in applications using OpenGL and Direct3D, where it can significantly improve rendering speed and reduce computational load. Description Source:https://plunk.org/~grantham/public/actc/README",https://plunk.org/~grantham/public/actc/,https://plunk.org/~grantham/public/actc/manual.html,https://plunk.org/~grantham/public/actc/tcsample.c,,,,
adapterremoval,"anvil, faster",,,,,,,,,,,,
adios2,expanse,,,,,,,,,,,,
adol-c,expanse,,,,,,,,,,,,
advisor,"kyric, stampede3",service,,,,"Intel Advisor is a performance analysis tool designed to help developers optimize and parallelize their software on Intel architectures. It provides insights for efficient vectorization, threading, and offloading to accelerators, aiding in achieving maximum performance from applications.",https://www.intel.com/content/www/us/en/developer/tools/oneapi/advisor.html,https://www.intel.com/content/www/us/en/docs/advisor/get-started-guide/2023-1/overview.html,,,,,
advntr,anvil,,,,,,,,,,,,
aesara,faster,,,,,,,,,,,,
aflow,faster,,,,,,,,,,,,
afplot,anvil,,,,,,,,,,,,
afterqc,anvil,,,,,,,,,,,,
agat,anvil,,,,,,,,,,,,
agfusion,anvil,,,,,,,,,,,,
ai,bridges,service,environment,,,,,https://www.psc.edu/resources/software/ai/,,,,,
aiohttp,"aces, faster",library,networking,,,aiohttp is an asynchronous HTTP Client/Server for asyncio and Python. Description Source:https://docs.aiohttp.org/en/stable/,https://github.com/aio-libs/aiohttp,https://docs.aiohttp.org/en/stable/,https://adcirc.org/home/documentation/example-problems/,,,,
alfred,anvil,,,,,,,,,,,,
alien-hunter,anvil,,,,,,,,,,,,
alignstats,anvil,,,,,,,,,,,,
all-architectures,ookami,,,,,,,,,,,,
allocations,bridges,,,,,,,,,,,,
allpathslg,anvil,,,,,,,,,,,,
