Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,Example Software Use (link),Area-specific Examples,Containerized Version of Software,RP Documentations for Software,Pathing
7z,ookami,service,developer support,General,General,7-Zip is a file archiver with a high compression ratio. Description Source:https://www.7-zip.org/,https://www.7-zip.org/,https://www.7-zip.org/,https://www.youtube.com/watch?v=N48Z0nG0bcQ,,,,
abacas,anvil,application,bioinformatics,Sciences,Biology,Abacas is a tool for algorithm based automatic contiguation of assembled sequences.,https://abacas.sourceforge.net/,https://abacas.sourceforge.net/documentation.html,https://abacas.sourceforge.net/Manual.html,,,,
abaqus,expanse,application,simulation,Engineering,Mechanical Engineering,"Abaqus is a software suite for finite element analysis and computer-aided engineering, primarily used in engineering and design fields for simulating the behavior of structures and materials under various conditions. It offers advanced capabilities for modeling, analysis, and visualization, making it a powerful tool for solving complex engineering challenges.",https://www.3ds.com/products/simulia/abaqus,https://www.3ds.com/support/documentation/user-guides,"https://www.3ds.com/products/simulia/training , https://www.youtube.com/watch?v=3-NIKzmhxOU&list=PLz_XdUL-6Y_k-LgmCKo5ejqRAGpfXPk23",,,,
abinit,"bridges-2, expanse, faster",application,materials science,Engineering,,"ABINIT is a software suite to calculate the optical, mechanical, vibrational, and other observable properties of materials. Starting from the quantum equations of density functional theory, you can build up to advanced applications with perturbation theories based on DFT, and many-body Green's functions (GW and DMFT). Description Source:https://www.abinit.org/",https://www.abinit.org/,https://docs.abinit.org/tutorial/,https://docs.abinit.org/tutorial/,,,,
abismal,anvil,application,bioinformatics,Sciences,Biology,Another Bisulfite Mapping Algorithm (abismal) is a read mapping program for bisulfite sequencing in DNA methylation studies.,https://github.com/smithlabcode/abismal,https://github.com/smithlabcode/abismal/blob/master/docs/MANUAL.md,,,,,
abpoa,anvil,application,bioinformatics,Sciences,Biology,abPOA is an extended version of Partial Order Alignment (POA) that performs adaptive banded dynamic programming (DP) with an SIMD implementation. abPOA can perform multiple sequence alignment (MSA) on a set of input sequences and generate a consensus sequence by applying the heaviest bundling algorithm to the final alignment graph. Description Source: https://github.com/yangao07/abPOA,https://github.com/yangao07/abPOA,https://github.com/yangao07/abPOA#general-usage,"https://github.com/yangao07/abPOA/blob/main/example.c , https://github.com/yangao07/abPOA/blob/main/sub_example.c ",,,,
abricate,anvil,application,bioinformatics,Sciences,Biology,"Mass screening of contigs for antimicrobial resistance or virulence genes. It comes bundled with multiple databases: NCBI, CARD, ARG-ANNOT, Resfinder, MEGARES, EcOH, PlasmidFinder, Ecoli_VF and VFDB.",https://github.com/tseemann/abricate,https://github.com/tseemann/abricate,,,,,
abseil,"aces, faster",library,General,General,General,Abseil is an open source collection of C++ libraries drawn from the most fundamental pieces of Google’s internal codebase. These libraries are the nuts-and-bolts that underpin almost everything Google runs. Description Source:https://abseil.io/about/,https://abseil.io/,https://abseil.io/docs/,"https://abseil.io/docs/cpp/quickstart , https://abseil.io/tips/",,,,
abyss,"anvil, bridges-2, faster",application,bioinformatics,Sciences,Biology,"ABySS is a de novo, parallel, paired-end sequence assembler that is designed for short reads. The single-processor version is useful for assembling genomes up to 100 Mbases in size. The parallel version is implemented using MPI and is capable of assembling larger genomes. Description Source:https://www.bcgsc.ca/resources/software/abyss",https://www.bcgsc.ca/resources/software/abyss,https://github.com/bcgsc/abyss,https://github.com/bcgsc/abyss?tab=readme-ov-file#assemble-a-small-synthetic-data-set,,,,
accessusage,expanse,service,developer support,General,General,Adds ACCESS accessusage tool to paths in the login shell environment.,https://software.xsede.org/packaged-software/access-usage-accessusage,https://software.xsede.org/production/accessusage/latest/INSTALL,https://software.xsede.org/production/accessusage/latest/INSTALL_Testing,,,,
actc,"aces, anvil, faster",application,modeling,General,"Biology, Mathematics","ACTC is a graphics optimization tool that enhances the rendering efficiency of 3D models by restructuring their geometric data. It's particularly useful in applications using OpenGL and Direct3D, where it can significantly improve rendering speed and reduce computational load. Description Source:https://plunk.org/~grantham/public/actc/README",https://plunk.org/~grantham/public/actc/,https://plunk.org/~grantham/public/actc/manual.html,https://plunk.org/~grantham/public/actc/tcsample.c,,,,
adapterremoval,"anvil, faster",application,bioinformatics,Sciences,Biology,"AdapterRemoval searches for and removes adapter sequences from High-Throughput Sequencing (HTS) data and (optionally) trims low quality bases from the 3’ end of reads following adapter removal. AdapterRemoval can analyze both single end and paired end data, and can be used to merge overlapping paired-ended reads into (longer) consensus sequences. Additionally, AdapterRemoval can construct a consensus adapter sequence for paired-ended reads, if which this information is not available.",https://github.com/MikkelSchubert/adapterremoval,https://adapterremoval.readthedocs.io/en/stable/,https://adapterremoval.readthedocs.io/en/stable/examples.html,,,,
adios2,expanse,framework,HPC Application,Sciences,Computer Science,"ADIOS2 is developed as part of the United States Department of Energy's Exascale Computing Project. It is a framework for scientific data I/O to publish and subscribe to data when and where required. ADIOS2 transports data as groups of self-describing variables and attributes across different media types (such as files, wide-area-networks, and remote direct memory access) using a common application programming interface for all transport modes. ADIOS2 can be used on supercomputers, cloud systems, and personal computers.",https://github.com/ornladios/ADIOS2,https://adios2.readthedocs.io/en/v2.10.0/,https://adios2.readthedocs.io/en/v2.10.0/tutorials/basicTutorials.html,,,,
adol-c,expanse,application,mathematics,Engineering,Mathematics,"ADOL-C is an operator overloading based AD-tool that allows to compute derivatives for functions given as C or C++ source code. ADOL-C can handle codes based on classes, templates and other advanced C++-features. The resulting derivative evaluation routines may be called from C, C++, Fortran, or any other language that can be linked with C.",https://github.com/coin-or/ADOL-C,https://github.com/coin-or/ADOL-C/tree/master/ADOL-C/doc,https://github.com/coin-or/ADOL-C/tree/master/ADOL-C/examples,,,,
advisor,"kyric, stampede3",service,,,,"Intel Advisor is a performance analysis tool designed to help developers optimize and parallelize their software on Intel architectures. It provides insights for efficient vectorization, threading, and offloading to accelerators, aiding in achieving maximum performance from applications.",https://www.intel.com/content/www/us/en/developer/tools/oneapi/advisor.html,https://www.intel.com/content/www/us/en/docs/advisor/get-started-guide/2023-1/overview.html,,,,,
advntr,anvil,application,bioinformatics,Sciences,Biology,adVNTR is a tool for genotyping Variable Number Tandem Repeats (VNTR) from sequence data. It works with both NGS short reads (Illumina HiSeq) and SMRT reads (PacBio) and finds diploid repeating counts for VNTRs and identifies possible mutations in the VNTR sequences.,https://github.com/mehrdadbakhtiari/adVNTR,https://advntr.readthedocs.io/en/latest/index.html,https://advntr.readthedocs.io/en/latest/tutorial.html,,,,
aesara,faster,application,mathematics,Engineering,Mathematics,"Aesara is a Python library that allows one to define, optimize, and efficiently evaluate mathematical expressions involving multi-dimensional arrays.",https://github.com/aesara-devs/aesara,https://aesara.readthedocs.io/en/latest/,https://aesara.readthedocs.io/en/latest/reference/index.html,,,,
aflow,faster,framework,materials,Sciences,Materials,"AFLOW is a comprehensive software framework for autonomous density functional theory calculations and materials properties analysis. It offers diverse tools and modules for structure analysis, property prediction, and error correction, including thermodynamic stability analysis and modeling of chemically disordered materials, with public access through the AFLOW website and search API.",https://aflowlib.org/,https://aflow.org/aflow-school/,https://aflow.org/aflow-school/,,,,
afplot,anvil,application,bioinformatics,Sciences,Biology,Afplot is a tool to plot allele frequencies in VCF files.,https://github.com/sndrtj/afplot,,https://github.com/sndrtj/afplot#Examples,,,,
afterqc,anvil,application,bioinformatics,Sciences,Biology,"Automatic Filtering, Trimming, Error Removing and Quality Control for fastq data. AfterQC can simply go through all fastq files in a folder and then output three folders: good, bad and QC folders, which contains good reads, bad reads and the QC results of each fastq file/pair.",https://github.com/OpenGene/AfterQC,https://github.com/OpenGene/AfterQC,https://github.com/OpenGene/AfterQC#Simple-usage,,,,
agat,anvil,toolkit,bioinformatics,Sciences,Biology,Agat is a suite of tools to handle gene annotations in any GTF/GFF format,https://github.com/NBISweden/AGAT?tab=readme-ov-file,https://agat.readthedocs.io/en/latest/index.html,https://agat.readthedocs.io/en/latest/agat_how_does_it_work.html,,,,
agfusion,anvil,application,bioinformatics,Sciences,Biology,AGFusion (pronounced 'A G Fusion') is a python package for annotating gene fusions from the human or mouse genomes.,https://github.com/murphycj/AGFusion,https://github.com/murphycj/AGFusion,"https://github.com/murphycj/AGFusion?tab=readme-ov-file#examples , https://www.agfusion.app/",,,,
ai,bridges-2,service,environment,,,PyTorch AI development environment,,https://www.psc.edu/resources/software/ai/,,,,,
aiohttp,"aces, faster",library,networking,,,aiohttp is an asynchronous HTTP Client/Server for asyncio and Python. Description Source:https://docs.aiohttp.org/en/stable/,https://github.com/aio-libs/aiohttp,https://docs.aiohttp.org/en/stable/,,,,,
alfred,anvil,application,bioinformatics,Sciences,Biology,Alfred is an efficient and versatile command-line application that computes multi-sample quality control metrics in a read-group aware manner.,https://github.com/tobiasrausch/alfred,https://www.gear-genomics.com/docs/alfred/,https://www.gear-genomics.com/docs/alfred/cli/,,,,
alien-hunter,anvil,application,bioinformatics,Sciences,Biology,Alien-hunter is an application for the prediction of putative Horizontal Gene Transfer (HGT) events with the implementation of Interpolated Variable Order Motifs (IVOMs).,https://www.sanger.ac.uk/tool/alien_hunter/,,,,,,
alignstats,anvil,application,bioinformatics,Sciences,Biology,"AlignStats produces various alignment, whole genome coverage, and capture coverage metrics for sequence alignment files in SAM, BAM, and CRAM format.",https://github.com/jfarek/alignstats,https://github.com/jfarek/alignstats,https://github.com/jfarek/alignstats?tab=readme-ov-file#usage-examples,,,,
all-architectures,ookami,,,,,,,,,,,,
allocations,bridges-2,,,,,PSC Allocations usage utilities,,,,,,,
