id,software_name,rp_software,description,software_type,software_class,research_area,research_discipline,id,website_links,documents,examples,area_specific,containers,rp_documents
1,7z,ookami,7-Zip is a file archiver with a high compression ratio. Description Source:https://www.7-zip.org/,service,developer support,General,General,1,https://www.7-zip.org/,https://www.7-zip.org/,https://www.youtube.com/watch?v=N48Z0nG0bcQ,,,
2,abacas,anvil,Abacas is a tool for algorithm based automatic contiguation of assembled sequences.,application,bioinformatics,Sciences,Biology,2,https://abacas.sourceforge.net/,https://abacas.sourceforge.net/documentation.html,https://abacas.sourceforge.net/Manual.html,,,
3,abaqus,expanse,"Abaqus is a software suite for finite element analysis and computer-aided engineering, primarily used in engineering and design fields for simulating the behavior of structures and materials under various conditions. It offers advanced capabilities for modeling, analysis, and visualization, making it a powerful tool for solving complex engineering challenges.",application,simulation,Engineering,Mechanical Engineering,3,https://www.3ds.com/products/simulia/abaqus,https://www.3ds.com/support/documentation/user-guides,"https://www.3ds.com/products/simulia/training , https://www.youtube.com/watch?v=3-NIKzmhxOU&list=PLz_XdUL-6Y_k-LgmCKo5ejqRAGpfXPk23",,,
4,abinit,"bridges-2, expanse, faster","ABINIT is a software suite to calculate the optical, mechanical, vibrational, and other observable properties of materials. Starting from the quantum equations of density functional theory, you can build up to advanced applications with perturbation theories based on DFT, and many-body Green's functions (GW and DMFT). Description Source:https://www.abinit.org/",application,materials science,Engineering,,4,https://www.abinit.org/,https://docs.abinit.org/tutorial/,https://docs.abinit.org/tutorial/,,,
5,abismal,anvil,Another Bisulfite Mapping Algorithm (abismal) is a read mapping program for bisulfite sequencing in DNA methylation studies.,application,bioinformatics,Sciences,Biology,5,https://github.com/smithlabcode/abismal,https://github.com/smithlabcode/abismal/blob/master/docs/MANUAL.md,,,,
6,abpoa,anvil,"abPOA is an extended version of Partial Order Alignment (POA) that performs adaptive banded dynamic programming (DP) with an SIMD implementation. abPOA can perform multiple sequence alignment (MSA) on a set of input sequences and generate a consensus sequence by applying the heaviest bundling algorithm to the final alignment graph. abPOA can generate high-quality consensus sequences from error-prone long reads and offer significant speed improvement over existing tools. abPOA supports three alignment modes (global, local, extension) and flexible scoring schemes that allow linear, affine and convex gap penalties. It right now supports SSE2/SSE4.1/AVX2 vectorization.",application,bioinformatics,Sciences,Biology,6,https://github.com/yangao07/abPOA,https://github.com/yangao07/abPOA,,,,
7,abricate,anvil,"Mass screening of contigs for antimicrobial resistance or virulence genes. It comes bundled with multiple databases: NCBI, CARD, ARG-ANNOT, Resfinder, MEGARES, EcOH, PlasmidFinder, Ecoli_VF and VFDB.",application,bioinformatics,Sciences,Biology,7,https://github.com/tseemann/abricate,https://github.com/tseemann/abricate,,,,
8,abseil,"aces, faster",Abseil is an open source collection of C++ libraries drawn from the most fundamental pieces of Google’s internal codebase. These libraries are the nuts-and-bolts that underpin almost everything Google runs. Description Source:https://abseil.io/about/,library,General,General,General,8,https://abseil.io/,https://abseil.io/docs/,"https://abseil.io/docs/cpp/quickstart , https://abseil.io/tips/",,,
9,abyss,"anvil, bridges-2, faster","ABySS is a de novo, parallel, paired-end sequence assembler that is designed for short reads. The single-processor version is useful for assembling genomes up to 100 Mbases in size. The parallel version is implemented using MPI and is capable of assembling larger genomes. Description Source:https://www.bcgsc.ca/resources/software/abyss",application,bioinformatics,Sciences,Biology,9,https://www.bcgsc.ca/resources/software/abyss,https://github.com/bcgsc/abyss,https://github.com/bcgsc/abyss?tab=readme-ov-file#assemble-a-small-synthetic-data-set,,,
10,accessusage,expanse,Adds ACCESS accessusage tool to paths in the login shell environment.,service,developer support,General,General,10,https://software.xsede.org/packaged-software/access-usage-accessusage,https://software.xsede.org/production/accessusage/latest/INSTALL,https://software.xsede.org/production/accessusage/latest/INSTALL_Testing,,,
