Software,Version Info
actc,"aces: 1.1
anvil: 0.2.0
faster: 1.1"
antlr,"aces: 2.7.7-Java-11
faster: 2.7.7-Java-11"
aocc,"aces: 4.0.0
anvil: 3.1.0
bridges-2: 2.2.0, 2.3.0
delta: 4.1.0
expanse: io3s466
faster: 3.1.0
jetstream: aocc-compiler-4.0.0"
apr,"aces: 1.7.0
faster: 1.7.0"
apr-util,"aces: 1.6.1
faster: 1.6.1"
ase,"aces: 3.20.1, 3.22.1
faster: 3.20.1"
atk,"aces: 2.36.0, 2.38.0
faster: 2.34.1, 2.36.0, 2.38.0"
abseil,"aces: 20230125.2, 20230125.3, 20230802.1
faster: 20210324.2, 20230125.2, 20230125.3, 20230802.1"
alphafold,"aces: 2.3.2-CUDA-11.8.0
anvil: 2.1.1, 2.2.0, 2.2.3, 2.3.0, 2.3.1
faster: 2.1.1, 2.2.2-CUDA-11.3.1"
alphapickle,"aces: 1.4.1
faster: 1.4.1"
ambertools,"aces: 22.3
faster: 21.12"
anaconda3,"aces: 2021.11, 2022.05, 2022.10, 2023.03-1, 2023.07-2, 2024.02-1
bridges-2: 2020.07, 2020.11, 2022.10
expanse: kfluefz, q4munrg
faster: 2020.11, 2021.05, 2021.11, 2022.05, 2022.10, 2023.03-1, 2023.07-2, ..."
armadillo,"aces: 11.4.3, 12.6.2
delta: 12.4.0
expanse: 9.800.3-openblas
faster: 10.7.5, 11.4.3, 12.6.2"
arrow,"aces: 8.0.0, 11.0.0
faster: 0.17.1, 6.0.0, 8.0.0"
autoconf,"aces: 2.69, 2.71
faster: 2.69, 2.71"
automake,"aces: 1.16.2, 1.16.3, 1.16.4, 1.16.5
faster: 1.16.1, 1.16.2, 1.16.3, 1.16.4, 1.16.5"
autotools,"aces: 20200321, 20210128, 20210726, 20220317
faster: 20180311, 20200321, 20210128, 20210726, 20220317
kyric: autotools"
bbmap,"aces: 38.90
anvil: 38.93, 38.96
bridges-2: 39.01
faster: 38.90, 38.96"
